Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 84775-52-0," TURMERIC, EXTRACT (CURCUMA LONGA L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 129828-29-1," TURMERIC, OLEORESIN (CURCUMA LONGA L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 8052-14-0, TURPENTINE,
 9005-90-7," TURPENTINE, GUM (PINUS SPP.)", FLAVORING AGENT OR ADJUVANT
 977022-00-6," TURPENTINE, RECTIFIED", FLAVORING AGENT OR ADJUVANT
 8006-64-2," TURPENTINE, STEAM DISTILLED (PINUS SPP.)", FLAVORING AGENT OR ADJUVANT
 51-67-2, TYRAMINE, FLAVORING AGENT OR ADJUVANT
 60-18-4, L-TYROSINE," FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 4089-07-0, L-TYROSINE ETHYL ESTER HYDROCHLORIDE,
 57455-37-5, ULTRAMARINE BLUE, COLOR OR COLORING ADJUNCT
 91254-00-1," 2,5-UNDECADIENAL", FLAVORING AGENT OR ADJUVANT
 13162-46-4," 2,4-UNDECADIENAL", FLAVORING AGENT OR ADJUVANT
 7493-59-6," 2,3-UNDECADIONE", FLAVORING AGENT OR ADJUVANT
 104-67-6, GAMMA-UNDECALACTONE, FLAVORING AGENT OR ADJUVANT
 112-44-7, UNDECANAL, FLAVORING AGENT OR ADJUVANT
 74094-62-5, UNDECANAL PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 112-37-8, UNDECANOIC ACID, FLAVORING AGENT OR ADJUVANT
 1653-30-1, 2-UNDECANOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 112-12-9, 2-UNDECANONE, FLAVORING AGENT OR ADJUVANT
 116963-97-4," 1,3,5,7-UNDECATETRAENE", FLAVORING AGENT OR ADJUVANT
 16356-11-9," 1,3,5-UNDECATRIENE", FLAVORING AGENT OR ADJUVANT
 68820-35-9, (E)-4-UNDECENAL, FLAVORING AGENT OR ADJUVANT
 112-45-8, 10-UNDECENAL, FLAVORING AGENT OR ADJUVANT
 2463-77-6, 2-UNDECENAL, FLAVORING AGENT OR ADJUVANT
 143-14-6, 9-UNDECENAL, FLAVORING AGENT OR ADJUVANT
 112-38-9, 10-UNDECENOIC ACID, FLAVORING AGENT OR ADJUVANT
 112-43-6, UNDECEN-1-OL, FLAVORING AGENT OR ADJUVANT
 37617-03-1, 2-UNDECEN-1-OL, FLAVORING AGENT OR ADJUVANT
 75039-84-8," 2-UNDECEN-1-OL, TRANS-", FLAVORING AGENT OR ADJUVANT
 36219-73-5, 10-UNDECEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 112-19-6, 10-UNDECEN-1-YL ACETATE, FLAVORING AGENT OR ADJUVANT
 112-42-5, UNDECYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 50854-94-9, N-UNDECYLBENZENESULFONIC ACID, WASHING OR SURFACE REMOVAL AGENT
 977161-74-2, UREASE ENZYME PREPARATION (LACTOBACILLUS FERMENTUM),
 4630-07-3, VALENCENE, FLAVORING AGENT OR ADJUVANT
 110-62-3, VALERALDEHYDE, FLAVORING AGENT OR ADJUVANT
 13112-65-7, VALERALDEHYDE DIBUTYL ACETAL, FLAVORING AGENT OR ADJUVANT
 74094-60-3, VALERALDEHYDE PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 8057-49-6," VALERIAN ROOT, EXTRACT (VALERIANA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
 8008-88-6," VALERIAN ROOT, OIL (VALERIANA OFFICINALIS L.)", FLAVORING AGENT OR ADJUVANT
 109-52-4, VALERIC ACID, FLAVORING AGENT OR ADJUVANT
 108-29-2, GAMMA-VALEROLACTONE, FLAVORING AGENT OR ADJUVANT
 72-18-4, L-VALINE," FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 977189-04-5," VANILLA, ABSOLUTE (VANILLA SPP.)",
 8024-06-4," VANILLA, EXTRACT (VANILLA SPP.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 8023-78-7," VANILLA, OLEORESIN (VANILLA SPP.)", FLAVORING AGENT OR ADJUVANT
 977004-06-0, VANILLA (VANILLA SPP.), FLAVORING AGENT OR ADJUVANT
 121-34-6, VANILLIC ACID, FLAVORING AGENT OR ADJUVANT
 121-33-5, VANILLIN," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 881-68-5, VANILLIN ACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 63253-24-7," VANILLIN 1,2-BUTYLENE GLYCOL ACETAL", FLAVORING AGENT OR ADJUVANT
 20665-85-4, VANILLIN ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 180964-47-0," VANILLIN 3-(L-MENTHOXY)PROPANE-1,2-DIOL ACETAL", FLAVORING AGENT OR ADJUVANT
 68527-74-2, VANILLIN PROPYLENE GLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 498-00-0, VANILLYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 82654-98-6, VANILLYL BUTYL ETHER, FLAVORING AGENT OR ADJUVANT
 13184-86-6, VANILLYL ETHYL ETHER, FLAVORING AGENT OR ADJUVANT
 1080-12-2, VANILLYLIDENE ACETONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977187-39-5," VEGETABLE GUM, OTHER THAN THOSE CFR LISTED"," EMULSIFIER OR EMULSIFIER SALT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT"
 977010-58-4, VEGETABLE JUICE, COLOR OR COLORING ADJUNCT
 120-14-9, VERATRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 473-67-6, VERBENOL, FLAVORING AGENT OR ADJUVANT
 80-57-9, VERBENONE, FLAVORING AGENT OR ADJUVANT
 977000-83-1, VERONICA (VERONICA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 977000-41-1," VERVAIN, EUROPEAN (VERBENA OFFICINALIS L.)",
 8016-96-4," VETIVER, OIL (VETIVERIA ZIZANIOIDES STAPF)", FLAVORING AGENT OR ADJUVANT
 68129-81-7, VETIVEROL,
 977059-70-3, VETIVER (VETIVERIA ZIZANIODES STAPF), FLAVORING AGENT OR ADJUVANT
 62563-80-8, VETIVERYL ACETATE, FLAVORING AGENT OR ADJUVANT
 108-05-4, VINYL ACETATE," MASTICATORY SUBSTANCE,<br /> SOLVENT OR VEHICLE"
 612-15-7, O-VINYLANISOLE--NLFG, FLAVORING AGENT OR ADJUVANT
 9011-06-7, VINYL CHLORIDE-VINYLIDENE CHLORIDE COPOLYMER, SURFACE-FINISHING AGENT
 2628-17-3, P-VINYLPHENOL, FLAVORING AGENT OR ADJUVANT
 8024-08-6, VIOLET LEAVES ABSOLUTE (VIOLA ODORATA L.), FLAVORING AGENT OR ADJUVANT
 977089-10-3," VIOLET, SWISS (VIOLA CALCARATA L.)",
 977154-08-7, VITAMIN B COMPLEX AND SYRUP, NUTRIENT SUPPLEMENT
 1406-16-2, VITAMIN D, NUTRIENT SUPPLEMENT
 12001-79-5, VITAMIN K, NUTRIENT SUPPLEMENT
 977014-38-2," WALNUT HULL, EXTRACT (JUGLANS SPP.)", FLAVORING AGENT OR ADJUVANT
 977091-98-7," WALNUT LEAVES, EXTRACT (JUGLANS SPP.)", FLAVORING AGENT OR ADJUVANT
 8002-80-0, WHEAT GLUTEN," FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 92129-90-3, WHEY," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> PROCESSING AID,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 92129-93-6," WHEY, DELACTOSED"," NUTRIENT SUPPLEMENT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 977085-88-3," WHEY, DEMINERALIZED"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 977086-36-4," WHEY, PARTIALLY DIMINERALIZED AND PARTIALLY DELACTOSED", FORMULATION AID
 977102-05-8, WHEY PROTEIN CONCENTRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 90045-28-6," WINTERGREEN, EXTRACT (GAULTHERIA PROCUMBENS L.)", FLAVORING AGENT OR ADJUVANT
 68917-75-9," WINTERGREEN, OIL (GAULTHERIA PROCUMBENS L.)", FLAVORING AGENT OR ADJUVANT
 977070-09-9," WOODRUFF, SWEET (ASPERULA ODORATA L.)", FLAVORING AGENT OR ADJUVANT
 977042-62-8, WORT,
 11138-66-2, XANTHAN GUM," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> COLOR OR COLORING ADJUNCT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 127-40-2, XANTHOPHYLL,
 95-87-4," 2,5-XYLENOL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 576-26-1," 2,6-XYLENOL", FLAVORING AGENT OR ADJUVANT
 95-65-8," 3,4-XYLENOL", FLAVORING AGENT OR ADJUVANT
 87-99-0, XYLITOL," HUMECTANT,<br /> NUTRITIVE SWEETENER"
 58-86-6, D-XYLOSE," FLAVORING AGENT OR ADJUVANT,<br /> NUTRITIVE SWEETENER"
 977000-16-0," YARROW, HERB (ACHILLEA MILLEFOLIUM L.)", FLAVORING AGENT OR ADJUVANT
 8022-07-9," YARROW, OIL (ACHILLEA MILLEFOLIUM L.)", FLAVORING AGENT OR ADJUVANT
 977052-70-2," YEAST, DRIED IRRADIATED", NUTRIENT SUPPLEMENT
 977082-78-2, YEAST EXTRACT AUTOLYZED,
 977011-55-4, YEAST-MALT SPROUT EXTRACT, FLAVORING AGENT OR ADJUVANT
 977030-39-9, YEASTS," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT"
 977009-36-1," YEASTS, DRIED"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> SOLVENT OR VEHICLE"
 14434-22-1, YELLOW PRUSSIATE OF SODA," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FORMULATION AID,<br /> HUMECTANT"
 977092-73-1," YERBA SANTA, FLUID EXTRACT (ERIODICTYON CALIFORNICUM (HOOK AND ARN) TORR)", FLAVORING AGENT OR ADJUVANT
 8006-81-3," YLANG-YLANG, OIL (CANANGA ODORATA HOOK. F. AND THOMAS)", FLAVORING AGENT OR ADJUVANT
 977083-21-8," YUCCA, JOSHUA-TREE (YUCCA BREVIFOLIA ENGELM.)"," FLAVORING AGENT OR ADJUVANT,<br /> PROPELLANT"
 977083-20-7," YUCCA, MOHAVE, EXTRACT (YUCCA SPP.)"," FLAVORING AGENT OR ADJUVANT,<br /> PROPELLANT"
 1123751-39-2, YUZUNONE, FLAVORING AGENT OR ADJUVANT
 84961-49-9," ZEDOARY BARK, EXTRACT (CURCUMA ZEDOARIA (BERG.) ROSC.)", FLAVORING AGENT OR ADJUVANT
 977052-57-5, ZEDOARY (CURCUMA ZEDOARIA (BERG.) ROSC.), FLAVORING AGENT OR ADJUVANT
 9010-66-6, ZEIN POWDER," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> HUMECTANT"
 56329-42-1, ZINC METHIONINE SULFATE, NUTRIENT SUPPLEMENT
 557-05-1, ZINC STEARATE, NUTRIENT SUPPLEMENT
 122-48-5, ZINGERONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 119-61-9, BENZOPHENONE, FLAVORING AGENT OR ADJUVANT
 93-15-2, EUGENYL METHYL ETHER--NLFG,
 123-35-3, BETA-MYRCENE, FLAVORING AGENT OR ADJUVANT
 89-82-7, PULEGONE, FLAVORING AGENT OR ADJUVANT
 110-86-1, PYRIDINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 100-42-5, STYRENE--NLFG,
 7778-18-9, CALCIUM SULFATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FORMULATION AID,<br /> LEAVENING AGENT,<br /> LUBRICANT OR RELEASE AGENT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER"
 977043-69-8, CARRAGEENAN AND SALTS OF CARRAGEENAN," EMULSIFIER OR EMULSIFIER SALT,<br /> STABILIZER OR THICKENER"
 977010-51-7, FRUIT JUICE," COLOR OR COLORING ADJUNCT,<br /> NUTRIENT SUPPLEMENT"
 110-17-8, FUMARIC ACID," ANTIMICROBIAL AGENT,<br /> CURING OR PICKLING AGENT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT"
 81-07-2, SACCHARIN, NON-NUTRITIVE SWEETENER
 6381-91-5," SACCHARIN, CALCIUM SALT", NON-NUTRITIVE SWEETENER
 128-44-9," SACCHARIN, SODIUM SALT"," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NON-NUTRITIVE SWEETENER,<br /> SOLVENT OR VEHICLE"
 977157-28-0," ANNATTO, SEED (BIXA ORELLANA L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 6358-53-8, CITRUS RED NO. 2, COLOR OR COLORING ADJUNCT
 10222-01-2," 2,2-DIBROMO-3-NITRILOPROPIONAMIDE", ANTIMICROBIAL AGENT
 16521-38-3," FD&C BLUE NO. 2, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
 111-66-0, 1-OCTENE, FLAVORING AGENT OR ADJUVANT
 27029-57-8, POLY(ALKYL(C16-22)ACRYLATE), PROCESSING AID
 977051-75-4, POLYETHYLENE GLYCOL (400) DIOLEATE, SURFACE-ACTIVE AGENT
 977137-78-2, POLYOXYETHYLENE (600) MONORICINOLEATE, SURFACE-ACTIVE AGENT
 126-92-1, SODIUM 2-ETHYLHEXYL SULFATE, WASHING OR SURFACE REMOVAL AGENT
 6184-17-4, SODIUM RIBOFLAVIN 5'-PHOSPHATE DIHYDRATE, NUTRIENT SUPPLEMENT
 67028-40-4, ETHYL (P-TOLYLOXY)ACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 68113-55-3, 1-HYDROXY-4-METHYL-2-PENTANONE, FLAVORING AGENT OR ADJUVANT
 577-11-7, DIOCTYL SODIUM SULFOSUCCINATE," EMULSIFIER OR EMULSIFIER SALT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 62-33-9," EDTA, CALCIUM DISODIUM"," ANTIOXIDANT,<br /> COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FUMIGANT,<br /> SEQUESTRANT"
 139-33-3," EDTA, DISODIUM", FLAVORING AGENT OR ADJUVANT
 68916-88-1," LEMON, JUICE", PH CONTROL AGENT
 977026-98-4," LIME, JUICE", PH CONTROL AGENT
 7727-37-9, NITROGEN," ANTIOXIDANT,<br /> FORMULATION AID,<br /> PROPELLANT"
 8028-45-3, OXYSTEARIN," PROCESSING AID,<br /> SEQUESTRANT,<br /> SURFACE-ACTIVE AGENT,<br /> SURFACE-FINISHING AGENT"
 977050-69-3, POLYGLYCEROL ESTERS OF FATTY ACIDS," EMULSIFIER OR EMULSIFIER SALT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
, vitamin D<sub>2</sub> mushroom powder, NUTRIENT SUPPLEMENT
 1673586-07-6, soy leghemoglobin, COLOR OR COLORING ADJUNCT
, butterfly pea flower extract, COLOR OR COLORING ADJUNCT
 515-69-5, ALPHA-BISABOLOL, FLAVORING AGENT OR ADJUVANT
 9000-01-5," ACACIA, GUM (ACACIA SENEGAL (L.) WILLD.)"," EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> PROPELLANT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 64-19-7, ACETIC ACID," ANTIMICROBIAL AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT"
 499-12-7, ACONITIC ACID, FLAVORING AGENT OR ADJUVANT
 124-04-9, ADIPIC ACID," FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT"
 9002-18-0, AGAR (GELIDIUM SPP.)," EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 9005-34-9," ALGINATE, AMMONIUM"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 9005-35-0," ALGINATE, CALCIUM"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 9005-36-1," ALGINATE, POTASSIUM"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 9005-38-3," ALGINATE, SODIUM"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 57-06-7, ALLYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 7784-26-1, ALUMINUM AMMONIUM SULFATE," LEAVENING AGENT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 21645-51-2, ALUMINUM HYDROXIDE," COLOR OR COLORING ADJUNCT,<br /> PROCESSING AID"
 688-37-9, ALUMINUM OLEATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 555-35-1, ALUMINUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 7784-24-9, ALUMINUM POTASSIUM SULFATE," FIRMING AGENT,<br /> FUMIGANT,<br /> PH CONTROL AGENT"
 7784-28-3, ALUMINUM SODIUM SULFATE," FIRMING AGENT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT"
 10043-01-3, ALUMINUM SULFATE," COLOR OR COLORING ADJUNCT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID,<br /> SEQUESTRANT"
 1066-33-7, AMMONIUM BICARBONATE," DOUGH STRENGTHENER,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT,<br /> TEXTURIZER"
 8000-73-5, AMMONIUM CARBONATE," LEAVENING AGENT,<br /> PH CONTROL AGENT"
 12125-02-9, AMMONIUM CHLORIDE," DOUGH STRENGTHENER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PROCESSING AID"
 1336-21-6, AMMONIUM HYDROXIDE," LEAVENING AGENT,<br /> PH CONTROL AGENT,<br /> SURFACE-FINISHING AGENT"
 7783-28-0," AMMONIUM PHOSPHATE, DIBASIC"," FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT"
 7722-76-1," AMMONIUM PHOSPHATE, MONOBASIC"," LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> PH CONTROL AGENT"
 7783-20-2, AMMONIUM SULFATE," DOUGH STRENGTHENER,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FLOUR TREATING AGENT,<br /> LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> PROCESSING AID"
 977000-09-1, ARROWROOT STARCH, STABILIZER OR THICKENER
 128-37-0, BUTYLATED HYDROXYTOLUENE," ANTIOXIDANT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 62-54-4, CALCIUM ACETATE," COLOR OR COLORING ADJUNCT,<br /> FIRMING AGENT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID,<br /> SEQUESTRANT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 471-34-1, CALCIUM CARBONATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> COLOR OR COLORING ADJUNCT,<br /> DRYING AGENT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> LUBRICANT OR RELEASE AGENT,<br /> MASTICATORY SUBSTANCE,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID"
 10035-04-8, CALCIUM CHLORIDE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> ENZYME,<br /> FIRMING AGENT,<br /> FREEZING OR COOLING AGENT,<br /> DIRECT CONTACT,<br /> FUMIGANT,<br /> HUMECTANT,<br /> MALTING OR FERMENTING AID,<br /> PH CONTROL AGENT,<br /> PROCESSING"
 299-28-5, CALCIUM GLUCONATE," FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> NUTRIENT SUPPLEMENT,<br /> SEQUESTRANT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 10102-76-8, CALCIUM HEXAMETAPHOSPHATE, SEQUESTRANT
 814-80-2, CALCIUM LACTATE," DOUGH STRENGTHENER,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> STABILIZER OR THICKENER"
 7757-93-9," CALCIUM PHOSPHATE, DIBASIC"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DOUGH STRENGTHENER,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> MASTICATORY SUBSTANCE,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> STABILIZER OR THICKENER"
 7758-23-8," CALCIUM PHOSPHATE, MONOBASIC"," DOUGH STRENGTHENER,<br /> FIRMING AGENT,<br /> FLOUR TREATING AGENT,<br /> LEAVENING AGENT,<br /> MALTING OR FERMENTING AID,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> SEQUESTRANT,<br /> STABILIZER OR THICKENER"
 7758-87-4," CALCIUM PHOSPHATE, TRIBASIC"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> TEXTURIZER"
 7776-28-5, CALCIUM PHYTATE,
 7790-76-3, CALCIUM PYROPHOSPHATE, NUTRIENT SUPPLEMENT
 8028-89-5, CARAMEL," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRITIVE SWEETENER,<br /> SOLVENT OR VEHICLE"
 124-38-9, CARBON DIOXIDE," ANTIMICROBIAL AGENT,<br /> ANTIOXIDANT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> FREEZING OR COOLING AGENT,<br /> DIRECT CONTACT,<br /> PH CONTROL AGENT,<br /> PROCESSING AID,<br /> PROPELLANT,<br /> SOLVENT"
 9000-11-7, CARBOXYMETHYL CELLULOSE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> HUMECTANT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT"
 9004-32-4," CARBOXYMETHYL CELLULOSE, SODIUM SALT"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 7235-40-7, BETA-CAROTENE," ANTIOXIDANT,<br /> COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 9000-07-1, CARRAGEENAN," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
